Date,Open
17-Mar-06,11294.94
16-Mar-06,11210.97
15-Mar-06,11149.76
14-Mar-06,11076.02
13-Mar-06,11067.61
10-Mar-06,10972.92
9-Mar-06,11005.66
8-Mar-06,10977.08
7-Mar-06,10957.31
6-Mar-06,11022.47
3-Mar-06,11024.23
2-Mar-06,11052.57
1-Mar-06,10993.25
28-Feb-06,11096.75
27-Feb-06,11062.81
24-Feb-06,11068.33
23-Feb-06,11133.52
22-Feb-06,11086.98
21-Feb-06,11115.48
17-Feb-06,11119.56
16-Feb-06,11059.05
15-Feb-06,11025.67
14-Feb-06,10890.72
13-Feb-06,10915.21
10-Feb-06,10883.51
9-Feb-06,10859.42
8-Feb-06,10742.16
7-Feb-06,10796.42
6-Feb-06,10793.30
3-Feb-06,10849.57
2-Feb-06,10950.11
1-Feb-06,10862.14
31-Jan-06,10900.40
30-Jan-06,10913.13
27-Jan-06,10815.32
26-Jan-06,10768.17
25-Jan-06,10713.26
24-Jan-06,10690.21
23-Jan-06,10668.75
20-Jan-06,10880.71
19-Jan-06,10855.18
18-Jan-06,10890.08
17-Jan-06,10957.55
13-Jan-06,10961.48
12-Jan-06,11043.12
11-Jan-06,11022.15
10-Jan-06,11010.46
9-Jan-06,10959.47
6-Jan-06,10875.45
5-Jan-06,10880.39
4-Jan-06,10843.97
3-Jan-06,10718.30
30-Dec-05,10783.86
29-Dec-05,10795.70
28-Dec-05,10778.25
27-Dec-05,10883.75
23-Dec-05,10901.68
22-Dec-05,10831.56
21-Dec-05,10805.63
20-Dec-05,10836.93
19-Dec-05,10875.51
16-Dec-05,10881.67
15-Dec-05,10883.43
14-Dec-05,10821.32
13-Dec-05,10765.69
12-Dec-05,10778.66
9-Dec-05,10751.76
8-Dec-05,10808.43
7-Dec-05,10856.86
6-Dec-05,10835.41
5-Dec-05,10876.95
2-Dec-05,10912.01
1-Dec-05,10806.03
30-Nov-05,10883.91
29-Nov-05,10888.48
28-Nov-05,10932.74
25-Nov-05,10915.13
23-Nov-05,10865.90
22-Nov-05,10815.96
21-Nov-05,10766.33
18-Nov-05,10719.34
17-Nov-05,10677.00
16-Nov-05,10697.81
15-Nov-05,10697.01
14-Nov-05,10686.60
11-Nov-05,10641.30
10-Nov-05,10550.61
9-Nov-05,10539.24
8-Nov-05,10574.18
7-Nov-05,10531.24
4-Nov-05,10523.23
3-Nov-05,10470.49
2-Nov-05,10406.29
1-Nov-05,10437.51
31-Oct-05,10403.17
28-Oct-05,10231.15
27-Oct-05,10334.81
26-Oct-05,10377.39
25-Oct-05,10383.88
24-Oct-05,10219.15
21-Oct-05,10282.22
20-Oct-05,10411.73
19-Oct-05,10277.18
18-Oct-05,10349.14
17-Oct-05,10287.42
14-Oct-05,10216.59
13-Oct-05,10216.91
12-Oct-05,10247.40
11-Oct-05,10239.16
10-Oct-05,10292.95
7-Oct-05,10287.42
6-Oct-05,10317.36
5-Oct-05,10434.81
4-Oct-05,10534.36
3-Oct-05,10569.50
30-Sep-05,10540.51
29-Sep-05,10472.61
28-Sep-05,10456.61
27-Sep-05,10444.58
26-Sep-05,10420.22
23-Sep-05,10421.81
22-Sep-05,10376.20
21-Sep-05,10484.23
20-Sep-05,10558.19
19-Sep-05,10641.87
16-Sep-05,10560.50
15-Sep-05,10545.85
14-Sep-05,10545.85
13-Sep-05,10673.71
12-Sep-05,10678.41
9-Sep-05,10594.10
8-Sep-05,10633.11
7-Sep-05,10588.68
6-Sep-05,10447.69
2-Sep-05,10460.67
1-Sep-05,10481.44
31-Aug-05,10415.84
30-Aug-05,10461.54
29-Aug-05,10396.90
26-Aug-05,10450.95
25-Aug-05,10434.39
24-Aug-05,10519.34
23-Aug-05,10571.01
22-Aug-05,10559.78
19-Aug-05,10552.70
18-Aug-05,10531.12
17-Aug-05,10505.60
16-Aug-05,10631.59
15-Aug-05,10599.19
12-Aug-05,10682.70
11-Aug-05,10591.83
10-Aug-05,10606.52
9-Aug-05,10537.65
8-Aug-05,10557.24
5-Aug-05,10610.34
4-Aug-05,10696.80
3-Aug-05,10681.51
2-Aug-05,10623.79
1-Aug-05,10641.78
29-Jul-05,10705.16
28-Jul-05,10633.50
27-Jul-05,10579.45
26-Jul-05,10597.60
25-Jul-05,10651.66
22-Jul-05,10624.19
21-Jul-05,10690.03
20-Jul-05,10629.52
19-Jul-05,10576.90
18-Jul-05,10640.19
15-Jul-05,10629.44
14-Jul-05,10559.86
13-Jul-05,10513.36
12-Jul-05,10519.49
11-Jul-05,10449.60
8-Jul-05,10302.90
7-Jul-05,10269.76
6-Jul-05,10366.52
5-Jul-05,10292.62
1-Jul-05,10273.59
30-Jun-05,10374.18
29-Jun-05,10405.94
28-Jun-05,10291.01
27-Jun-05,10298.07
24-Jun-05,10422.28
23-Jun-05,10587.09
22-Jun-05,10599.36
21-Jun-05,10608.88
20-Jun-05,10621.54
17-Jun-05,10580.41
16-Jun-05,10566.76
15-Jun-05,10548.65
14-Jun-05,10521.95
13-Jun-05,10503.57
10-Jun-05,10503.02
9-Jun-05,10477.75
8-Jun-05,10484.84
7-Jun-05,10466.00
6-Jun-05,10461.64
3-Jun-05,10552.82
2-Jun-05,10548.83
1-Jun-05,10462.86
31-May-05,10541.89
27-May-05,10537.08
26-May-05,10458.68
25-May-05,10503.17
24-May-05,10522.68
23-May-05,10472.80
20-May-05,10492.75
19-May-05,10464.45
18-May-05,10323.19
17-May-05,10247.49
16-May-05,10139.61
13-May-05,10188.23
12-May-05,10299.74
11-May-05,10272.91
10-May-05,10382.94
9-May-05,10345.40
6-May-05,10339.71
5-May-05,10384.49
4-May-05,10255.25
3-May-05,10251.04
2-May-05,10192.00
29-Apr-05,10073.47
28-Apr-05,10194.58
27-Apr-05,10150.32
26-Apr-05,10240.99
25-Apr-05,10158.52
22-Apr-05,10216.68
21-Apr-05,10010.51
20-Apr-05,10131.18
19-Apr-05,10071.55
18-Apr-05,10088.54
15-Apr-05,10276.61
14-Apr-05,10403.71
13-Apr-05,10507.45
12-Apr-05,10448.63
11-Apr-05,10462.08
8-Apr-05,10546.32
7-Apr-05,10485.88
6-Apr-05,10453.45
5-Apr-05,10421.14
4-Apr-05,10401.71
1-Apr-05,10504.57
31-Mar-05,10541.59
30-Mar-05,10405.77
29-Mar-05,10486.10
28-Mar-05,10444.13
24-Mar-05,10457.06
23-Mar-05,10470.58
22-Mar-05,10565.39
21-Mar-05,10629.90
18-Mar-05,10627.83
17-Mar-05,10633.30
16-Mar-05,10741.63
15-Mar-05,10804.29
14-Mar-05,10773.92
11-Mar-05,10845.30
10-Mar-05,10806.28
9-Mar-05,10912.32
8-Mar-05,10935.60
7-Mar-05,10940.55
4-Mar-05,10834.51
3-Mar-05,10812.27
2-Mar-05,10825.68
1-Mar-05,10794.98
28-Feb-05,10842.05
25-Feb-05,10748.42
24-Feb-05,10672.24
23-Feb-05,10609.28
22-Feb-05,10783.38
18-Feb-05,10755.15
17-Feb-05,10835.03
16-Feb-05,10832.03
15-Feb-05,10791.06
14-Feb-05,10795.72
11-Feb-05,10742.92
10-Feb-05,10665.00
9-Feb-05,10717.76
8-Feb-05,10712.51
7-Feb-05,10715.76
4-Feb-05,10593.17
3-Feb-05,10592.21
2-Feb-05,10551.05
1-Feb-05,10489.72
31-Jan-05,10428.76
28-Jan-05,10470.58
27-Jan-05,10498.14
26-Jan-05,10463.19
25-Jan-05,10369.42
24-Jan-05,10393.58
21-Jan-05,10471.98
20-Jan-05,10538.90
19-Jan-05,10626.05
18-Jan-05,10554.23
14-Jan-05,10506.71
13-Jan-05,10617.41
12-Jan-05,10561.32
11-Jan-05,10619.77
10-Jan-05,10603.44
7-Jan-05,10624.80
6-Jan-05,10593.19
5-Jan-05,10629.53
4-Jan-05,10727.81
3-Jan-05,10783.75
31-Dec-04,10800.30
30-Dec-04,10829.12
