V2Ray 4.19.1 (Let's Fly) Custom
A unified platform for anti-censorship.
2021/07/12 21:51:13 [Warning] v2ray.com/core: V2Ray 4.19.1 started
2021/07/12 21:51:16 tcp:127.0.0.1:42860 accepted tcp:www.googleapis.com:443 
2021/07/12 21:51:17 tcp:127.0.0.1:42866 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:18 tcp:127.0.0.1:42870 accepted tcp:www.google.com:443 
2021/07/12 21:51:19 tcp:127.0.0.1:42872 accepted tcp:www.google.com:443 
2021/07/12 21:51:19 tcp:127.0.0.1:42874 accepted tcp:encrypted-tbn0.gstatic.com:443 
2021/07/12 21:51:19 tcp:127.0.0.1:42876 accepted tcp:lh5.googleusercontent.com:443 
2021/07/12 21:51:19 tcp:127.0.0.1:42878 accepted tcp:oauthaccountmanager.googleapis.com:443 
2021/07/12 21:51:24 tcp:127.0.0.1:42882 accepted tcp:android.clients.google.com:443 
2021/07/12 21:51:25 tcp:127.0.0.1:42884 accepted tcp:xn--3pxm0r:80 
2021/07/12 21:51:39 tcp:127.0.0.1:42886 accepted tcp:mtalk.google.com:5228 
2021/07/12 21:51:43 tcp:127.0.0.1:42904 accepted tcp:content-autofill.googleapis.com:443 
2021/07/12 21:51:44 tcp:127.0.0.1:42912 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:44 tcp:127.0.0.1:42914 accepted tcp:www.google.com:443 
2021/07/12 21:51:44 tcp:127.0.0.1:42916 accepted tcp:android.clients.google.com:443 
2021/07/12 21:51:45 tcp:127.0.0.1:42920 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:45 tcp:127.0.0.1:42918 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:45 tcp:127.0.0.1:42922 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:45 [Warning] failed to handler mux client connection > v2ray.com/core/proxy/vmess/outbound: failed to find an available destination > v2ray.com/core/common/retry: [v2ray.com/core/transport/internet/websocket: failed to dial WebSocket > v2ray.com/core/transport/internet/websocket: failed to dial to (wss://104.19.70.222/ray):  > dial tcp 104.19.70.222:443: connect: no route to host v2ray.com/core/transport/internet/websocket: failed to dial WebSocket > v2ray.com/core/transport/internet/websocket: failed to dial to (wss://104.19.70.222/ray):  > dial tcp 104.19.70.222:443: connect: connection refused] > v2ray.com/core/common/retry: all retry attempts failed
2021/07/12 21:51:45 tcp:127.0.0.1:42924 accepted tcp:envnpvwpkkt:80 
2021/07/12 21:51:45 tcp:127.0.0.1:42926 accepted tcp:fjnbsxsp:80 
2021/07/12 21:51:45 tcp:127.0.0.1:42928 accepted tcp:uduwdpiyxzife:80 
2021/07/12 21:51:46 tcp:127.0.0.1:42942 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:46 tcp:127.0.0.1:42948 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:46 tcp:127.0.0.1:42950 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:46 tcp:127.0.0.1:42946 accepted tcp:www.google.com:443 
2021/07/12 21:51:46 tcp:127.0.0.1:42940 accepted tcp:content-autofill.googleapis.com:443 
2021/07/12 21:51:46 tcp:127.0.0.1:42938 accepted tcp:mtalk.google.com:5228 
2021/07/12 21:51:46 tcp:127.0.0.1:42944 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:47 [Warning] failed to handler mux client connection > v2ray.com/core/proxy/vmess/outbound: failed to find an available destination > v2ray.com/core/common/retry: [v2ray.com/core/transport/internet/websocket: failed to dial WebSocket > v2ray.com/core/transport/internet/websocket: failed to dial to (wss://104.19.70.222/ray):  > dial tcp 104.19.70.222:443: connect: connection refused] > v2ray.com/core/common/retry: all retry attempts failed
2021/07/12 21:51:48 [Warning] failed to handler mux client connection > v2ray.com/core/proxy/vmess/outbound: failed to find an available destination > v2ray.com/core/common/retry: [v2ray.com/core/transport/internet/websocket: failed to dial WebSocket > v2ray.com/core/transport/internet/websocket: failed to dial to (wss://104.19.70.222/ray):  > dial tcp 104.19.70.222:443: connect: connection refused] > v2ray.com/core/common/retry: all retry attempts failed
2021/07/12 21:51:48 tcp:127.0.0.1:42964 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:48 tcp:127.0.0.1:42972 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:49 tcp:127.0.0.1:42976 accepted tcp:www.google.com:443 
2021/07/12 21:51:50 [Warning] failed to handler mux client connection > v2ray.com/core/proxy/vmess/outbound: failed to find an available destination > v2ray.com/core/common/retry: [v2ray.com/core/transport/internet/websocket: failed to dial WebSocket > v2ray.com/core/transport/internet/websocket: failed to dial to (wss://104.19.70.222/ray):  > dial tcp 104.19.70.222:443: connect: connection refused] > v2ray.com/core/common/retry: all retry attempts failed
2021/07/12 21:51:51 tcp:127.0.0.1:42984 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:51 tcp:127.0.0.1:42982 accepted tcp:www.google.com:443 
2021/07/12 21:51:51 tcp:127.0.0.1:42980 accepted tcp:cn.bing.com:443 
2021/07/12 21:51:53 [Warning] failed to handler mux client connection > v2ray.com/core/proxy/vmess/outbound: failed to find an available destination > v2ray.com/core/common/retry: [v2ray.com/core/transport/internet/websocket: failed to dial WebSocket > v2ray.com/core/transport/internet/websocket: failed to dial to (wss://104.19.70.222/ray):  > dial tcp 104.19.70.222:443: connect: connection refused] > v2ray.com/core/common/retry: all retry attempts failed
2021/07/12 21:51:59 tcp:127.0.0.1:42996 accepted tcp:www.google.com:443 
2021/07/12 21:51:59 tcp:127.0.0.1:43000 accepted tcp:aefd.nelreports.net:443 
2021/07/12 21:52:01 tcp:127.0.0.1:43008 accepted tcp:mtalk.google.com:443 
2021/07/12 21:52:03 tcp:127.0.0.1:43010 accepted tcp:www.google.com:443 
2021/07/12 21:52:08 tcp:127.0.0.1:43016 accepted tcp:mtalk.google.com:5228 
2021/07/12 21:52:09 tcp:127.0.0.1:43018 accepted tcp:gtmwpprokdfzp:80 
2021/07/12 21:52:09 tcp:127.0.0.1:43020 accepted tcp:muhocspts:80 
2021/07/12 21:52:09 tcp:127.0.0.1:43022 accepted tcp:wgwzqerytz:80 
2021/07/12 21:52:09 tcp:127.0.0.1:43024 accepted tcp:www.google.com:443 
2021/07/12 21:52:10 tcp:127.0.0.1:43026 accepted tcp:fonts.gstatic.com:443 
2021/07/12 21:52:10 tcp:127.0.0.1:43028 accepted tcp:www.gstatic.com:443 
2021/07/12 21:52:10 tcp:127.0.0.1:43030 accepted tcp:mtalk.google.com:5228 
2021/07/12 21:52:11 tcp:127.0.0.1:43032 accepted tcp:id.google.com:443 
2021/07/12 21:52:11 tcp:127.0.0.1:43034 accepted tcp:lh3.googleusercontent.com:443 
2021/07/12 21:52:12 tcp:127.0.0.1:43044 accepted tcp:www.googleapis.com:443 
2021/07/12 21:52:12 tcp:127.0.0.1:43036 accepted tcp:ugejoqnhqvnulrz:80 
2021/07/12 21:52:12 tcp:127.0.0.1:43038 accepted tcp:psfabxbpvyztzj:80 
2021/07/12 21:52:12 tcp:127.0.0.1:43040 accepted tcp:gulwnobpefmid:80 
2021/07/12 21:52:12 tcp:127.0.0.1:43042 accepted tcp:content-autofill.googleapis.com:443 
2021/07/12 21:52:12 tcp:127.0.0.1:43048 accepted tcp:apis.google.com:443 
2021/07/12 21:52:12 tcp:127.0.0.1:43050 accepted tcp:adservice.google.com:443 
2021/07/12 21:52:13 tcp:127.0.0.1:43052 accepted tcp:zh.wikipedia.org:443 
2021/07/12 21:52:14 tcp:127.0.0.1:43054 accepted tcp:www.googleadservices.com:443 
2021/07/12 21:52:14 tcp:127.0.0.1:43056 accepted tcp:upload.wikimedia.org:443 
2021/07/12 21:52:14 tcp:127.0.0.1:43058 accepted tcp:wikimedia.org:443 
2021/07/12 21:52:15 tcp:127.0.0.1:43062 accepted tcp:upload.wikimedia.org:443 
2021/07/12 21:52:15 tcp:127.0.0.1:43060 accepted tcp:upload.wikimedia.org:443 
2021/07/12 21:52:15 tcp:127.0.0.1:43064 accepted tcp:wikimedia.org:443 
2021/07/12 21:52:15 tcp:127.0.0.1:43070 accepted tcp:wikimedia.org:443 
2021/07/12 21:52:15 tcp:127.0.0.1:43068 accepted tcp:wikimedia.org:443 
2021/07/12 21:52:15 tcp:127.0.0.1:43066 accepted tcp:wikimedia.org:443 
2021/07/12 21:52:15 tcp:127.0.0.1:43072 accepted tcp:wikimedia.org:443 
2021/07/12 21:52:15 tcp:127.0.0.1:43076 accepted tcp:upload.wikimedia.org:443 
2021/07/12 21:52:17 tcp:127.0.0.1:43078 accepted tcp:meta.wikimedia.org:443 
2021/07/12 21:52:17 tcp:127.0.0.1:43080 accepted tcp:login.wikimedia.org:443 
2021/07/12 21:52:47 tcp:127.0.0.1:43082 accepted tcp:intake-analytics.wikimedia.org:443 
2021/07/12 21:53:16 tcp:127.0.0.1:43084 accepted tcp:mtalk.google.com:5228 
2021/07/12 21:53:38 tcp:127.0.0.1:43086 accepted tcp:mqtt-web.zhihu.com:443 
